Borehole_Number,Longitude_deg,Latitude_deg,Depth_m,Sand_Bottom_m,Drilled_Depth_m,Predicted_Susceptibility_SI,Observed_Susceptibility_SI_if_available,Nearest_Active_Cell_ID,Distance_to_Nearest_Cell_Centre_m,Cell_X_m,Cell_Y_m,Cell_Z_m,Susceptibility_Source
RBGUT-14,72.423984,25.595341,20.5,11.5,125,0.02350403,0.030144,2250282,23.91798368,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,21.5,11.5,125,0.02350403,0.0322792,2250282,23.72909487,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,22.5,11.5,125,0.02350403,0.011861664,2250282,23.58113532,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,23.5,11.5,125,0.02350403,0.0391872,2250282,23.47487898,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,24.5,11.5,125,0.02350403,0.035796,2250282,23.41089369,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,25.5,11.5,125,0.02350403,0.00852824,2250282,23.38952636,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,26.5,11.5,125,0.00501144,0.00563944,2249770,23.38952636,375,25,-26.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,27.5,11.5,125,1,0.00438344,2249169,23.38952636,375,25,-27.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,28.5,11.5,125,0.00278832,0.00316512,2248451,23.38952636,375,25,-28.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,29.5,11.5,125,1,0.00241152,2247621,23.38952636,375,25,-29.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,30.5,11.5,125,0.00469116,0.00648096,2246653,23.38952636,375,25,-30.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,31.5,11.5,125,1,0.00290136,2245537,23.38952636,375,25,-31.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,32.5,11.5,125,0.0113668,0.0113668,2244282,23.38952636,375,25,-32.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,33.5,11.5,125,0.0073476,0.0073476,2242888,23.38952636,375,25,-33.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,34.5,11.5,125,0.005024,0.005024,2241339,23.38952636,375,25,-34.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,35.5,11.5,125,0.00415108,0.00149464,2239640,23.38952636,375,25,-35.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,36.5,11.5,125,0.00538824,0.00680752,2237786,23.38952636,375,25,-36.5,Predicted_from_recovered_3D_model
